======================================================
                      RUN OVERVIEW                   
======================================================
| Event                                            |  #  |  %   |
|--------------------------------------------------|-----|------|
| Run Diablo                                       | 101 | 100% |
| ROF: Calibrated at WAYPOINT                      | 65  | 64%  |
| ROF: Teleporting directly to PENTAGRAM           |  0  |  0%  |
| ROF: Teleporting to CS ENTRANCE                  | 61  | 60%  |
| CS Trash: Calibrated at CS ENTRANCE              | 87  | 86%  |
| CS Trash: Starting to clear Trash                | 87  | 86%  |
| CS Trash: Clearing first hall 1/2                |  0  |  0%  |
| CS Trash: Clearing first hall 2/2                |  0  |  0%  |
| CS Trash (A): Layout_check step 1/2              | 26  | 26%  |
| CS Trash (A): Layout_check step 2/2              | 26  | 26%  |
| CS Trash (A): Layout_check failed                |  0  |  0%  |
| CS Trash (A): clearing second hall (1/3)         | 26  | 26%  |
| CS Trash (A): clearing second hall (2/3)         | 26  | 26%  |
| CS Trash (A): clearing second hall (3/3)         | 26  | 26%  |
| CS Trash (A): clearing third hall (1/1)          |  3  |  3%  |
| CS Trash (B): Layout_check step 1/2              | 30  | 30%  |
| CS Trash (B): Layout_check step 2/2              | 28  | 28%  |
| CS Trash (B): Layout_check failed                |  2  |  2%  |
| CS Trash (B): clearing second hall (1/3)         | 28  | 28%  |
| CS Trash (B): clearing second hall (2/3)         | 28  | 28%  |
| CS Trash (B): clearing second hall (3/3)         | 28  | 28%  |
| CS Trash (B): clearing third hall (1/1)          | 25  | 25%  |
| CS Trash: looping to PENTAGRAM                   | 77  | 76%  |
| CS: Calibrated at PENTAGRAM                      | 66  | 65%  |
| CS: OPEN TP                                      | 66  | 65%  |
| CS: failed to open TP                            |  0  |  0%  |
| CS TRASH: A Pent to LC                           | 64  | 63%  |
| CS TRASH: B Pent to LC                           | 61  | 60%  |
| CS TRASH: C Pent to LC                           | 60  | 59%  |
| Checking Layout for Vizier                       | 58  | 57%  |
| Checking Layout for De Seis                      | 50  | 50%  |
| Checking Layout for Infector                     | 49  | 49%  |
| Waiting for Diablo to spawn                      | 46  | 46%  |
| End game                                         | 49  | 49%  |
| End failed game                                  | 49  | 49%  |
| Trying to chicken                                |  0  |  0%  |
| You have died                                    |  0  |  0%  |
| Shrine found, activating it                      |  1  |  1%  |
| Shrine not found                                 | 12  | 12%  |
| Got enough pots, no need to go to town right now | 149 | 148% |
| Going back to town to visit our friend Jamella   |  7  |  7%  |
| Done in town, now going back to portal           |  7  |  7%  |
| Going through portal                             |  6  |  6%  |
| CS after town: Re-open TP                        |  3  |  3%  |
| CS after Town: failed to open TP                 |  0  |  0%  |



===========================================
                  SEAL RATIO              
===========================================
| A1-L | A2-Y | B1-S | B2-U | C1-F | C2-G |
|------|------|------|------|------|------|
|  28  |  23  |  26  |  23  |  21  |  27  |



=================================================
              INDIVIDUAL SEAL RESULTS           
=================================================

| Event                             | #  |  %   |
|-----------------------------------|----|------|
| A1-L: Layout_check step 1/2       | 28 | 100% |
| A1-L: Layout_check step 2/2       | 28 | 100% |
| A1-L: Layout_check failure        | 0  |  0%  |
| A1-L: Starting to clear Seal      | 28 | 100% |
| A1-L: Seal1: is closed            | 35 | 125% |
| A1-L: Seal1: is open              | 27 | 96%  |
| A1-L: Seal2: is closed            | 29 | 104% |
| A1-L: Seal2: is open              | 27 | 96%  |
| A1-L: Kill Boss                   | 27 | 96%  |
| A1-L: Static Pathing to Pentagram | 27 | 96%  |
| A1-L: Looping to Pentagram        | 27 | 96%  |
| A1-L: finished seal & calibrated  | 27 | 96%  |

| Event                             | #  |  %   |
|-----------------------------------|----|------|
| A2-Y: Layout_check step 1/2       | 23 | 100% |
| A2-Y: Layout_check step 2/2       | 23 | 100% |
| A2-Y: Layout_check failure        | 0  |  0%  |
| A2-Y: Starting to clear Seal      | 23 | 100% |
| A2-Y: Seal1: is closed            | 27 | 117% |
| A2-Y: Seal1: is open              | 23 | 100% |
| A2-Y: Seal2: is closed            | 34 | 148% |
| A2-Y: Seal2: is open              | 23 | 100% |
| A2-Y: Kill Boss                   | 23 | 100% |
| A2-Y: Static Pathing to Pentagram | 23 | 100% |
| A2-Y: Looping to Pentagram        | 23 | 100% |
| A2-Y: finished seal & calibrated  | 23 | 100% |

| Event                             | #  |  %   |
|-----------------------------------|----|------|
| B1-S: Layout_check step 1/2       | 26 | 100% |
| B1-S: Layout_check step 2/2       | 26 | 100% |
| B1-S: Layout_check failure        | 0  |  0%  |
| B1-S: Starting to clear Seal      | 26 | 100% |
| B1-S: Seal1: is closed            | 0  |  0%  |
| B1-S: Seal1: is open              | 0  |  0%  |
| B1-S: Seal2: is closed            | 38 | 146% |
| B1-S: Seal2: is open              | 26 | 100% |
| B1-S: Kill Boss                   | 26 | 100% |
| B1-S: Static Pathing to Pentagram | 26 | 100% |
| B1-S: Looping to Pentagram        | 26 | 100% |
| B1-S: finished seal & calibrated  | 26 | 100% |

| Event                             | #  |  %   |
|-----------------------------------|----|------|
| B2-U: Layout_check step 1/2       | 24 | 100% |
| B2-U: Layout_check step 2/2       | 23 | 96%  |
| B2-U: Layout_check failure        | 0  |  0%  |
| B2-U: Starting to clear Seal      | 23 | 96%  |
| B2-U: Seal1: is closed            | 0  |  0%  |
| B2-U: Seal1: is open              | 0  |  0%  |
| B2-U: Seal2: is closed            | 33 | 138% |
| B2-U: Seal2: is open              | 23 | 96%  |
| B2-U: Kill Boss                   | 23 | 96%  |
| B2-U: Static Pathing to Pentagram | 23 | 96%  |
| B2-U: Looping to Pentagram        | 23 | 96%  |
| B2-U: finished seal & calibrated  | 23 | 96%  |

| Event                             | #  |  %   |
|-----------------------------------|----|------|
| C1-F: Layout_check step 1/2       | 21 | 100% |
| C1-F: Layout_check step 2/2       | 21 | 100% |
| C1-F: Layout_check failure        | 0  |  0%  |
| C1-F: Starting to clear Seal      | 21 | 100% |
| C1-F: Seal1: is closed            | 27 | 129% |
| C1-F: Seal1: is open              | 20 | 95%  |
| C1-F: Seal2: is closed            | 23 | 110% |
| C1-F: Seal2: is open              | 20 | 95%  |
| C1-F: Kill Boss                   | 20 | 95%  |
| C1-F: Static Pathing to Pentagram | 20 | 95%  |
| C1-F: Looping to Pentagram        | 20 | 95%  |
| C1-F: finished seal & calibrated  | 20 | 95%  |

| Event                             | #  |  %   |
|-----------------------------------|----|------|
| C2-G: Layout_check step 1/2       | 27 | 100% |
| C2-G: Layout_check step 2/2       | 27 | 100% |
| C2-G: Layout_check failure        | 0  |  0%  |
| C2-G: Starting to clear Seal      | 27 | 100% |
| C2-G: Seal1: is closed            | 29 | 107% |
| C2-G: Seal1: is open              | 27 | 100% |
| C2-G: Seal2: is closed            | 57 | 211% |
| C2-G: Seal2: is open              | 26 | 96%  |
| C2-G: Kill Boss                   | 26 | 96%  |
| C2-G: Static Pathing to Pentagram | 26 | 96%  |
| C2-G: Looping to Pentagram        | 26 | 96%  |
| C2-G: finished seal & calibrated  | 26 | 96%  |




=======================================================
                    TEMPLATES CHECKED                 
=======================================================
| TEMPLATES CHECKED                             |  #  |
|-----------------------------------------------|-----|
| Found Match: DIA_NEW_PENT_0                   | 99  |
| Found Match: DIA_NEW_PENT_1                   | 168 |
| Found Match: DIA_NEW_PENT_TP                  | 182 |
| Found Match: DIA_NEW_PENT_2                   |  7  |
| Found Match: DIA_A2Y_LAYOUTCHECK0             |  0  |
| Found Match: DIA_A2Y_LAYOUTCHECK1             |  8  |
| Found Match: DIA_A2Y_LAYOUTCHECK2             |  4  |
| Found Match: DIA_A2Y_LAYOUTCHECK4             |  0  |
| Found Match: DIA_A2Y_LAYOUTCHECK5             |  9  |
| Found Match: DIA_A2Y_LAYOUTCHECK6             |  2  |
| Found Match: DIA_A1L_LAYOUTCHECK0             | 23  |
| Found Match: DIA_A1L_LAYOUTCHECK4             |  4  |
| Found Match: DIA_A1L_LAYOUTCHECK4LEFT         |  0  |
| Found Match: DIA_A1L_LAYOUTCHECK1             |  0  |
| Found Match: DIA_A1L_LAYOUTCHECK2             |  1  |
| Found Match: DIA_A1L_LAYOUTCHECK3             |  0  |
| Found Match: DIA_A1L_LAYOUTCHECK4RIGHT        |  0  |
| Found Match: DIA_A1L_LAYOUTCHECK5             |  0  |
| Found Match: DIA_B1S_BOSS_CLOSED_LAYOUTCHECK1 |  0  |
| Found Match: DIA_B1S_BOSS_CLOSED_LAYOUTCHECK2 |  3  |
| Found Match: DIA_B1S_BOSS_CLOSED_LAYOUTCHECK3 | 16  |
| Found Match: DIA_B2U_LAYOUTCHECK2             |  6  |
| Found Match: DIA_B2U_LAYOUTCHECK1             |  0  |
| Found Match: DIA_B2U_LAYOUTCHECK2SMALL        |  0  |
| Found Match: DIA_B2U_LAYOUTCHECK3             |  0  |
| Found Match: DIA_B2U_LAYOUTCHECK4             |  0  |
| Found Match: DIA_B2U_LAYOUTCHECK5             |  0  |
| Found Match: DIA_B2U_LAYOUTCHECK6             |  5  |
| Found Match: DIA_B2U_LAYOUTCHECK7             |  0  |
| Found Match: DIA_B2U_LAYOUTCHECK8             |  0  |
| Found Match: DIA_B2U_LAYOUTCHECK9             | 12  |
| Found Match: DIA_C2G_BOSS_CLOSED_LAYOUTCHECK1 |  5  |
| Found Match: DIA_C2G_BOSS_CLOSED_LAYOUTCHECK4 |  0  |
| Found Match: DIA_C2G_BOSS_CLOSED_LAYOUTCHECK5 |  0  |
| Found Match: DIA_C2G_BOSS_CLOSED_LAYOUTCHECK2 |  0  |
| Found Match: DIA_C2G_BOSS_CLOSED_LAYOUTCHECK3 | 22  |
| Found Match: DIA_C1F_LAYOUTCHECK1             |  3  |
| Found Match: DIA_C1F_LAYOUTCHECK2             | 18  |
| Found Match: DIA_C1F_LAYOUTCHECK3             |  0  |
| Found Match: DIABLO_ENTRANCE_12               |  1  |
| Found Match: DIABLO_ENTRANCE_13               |  0  |
| Found Match: DIABLO_ENTRANCE_15               |  2  |
| Found Match: DIABLO_ENTRANCE_16               |  0  |
| Found Match: DIABLO_ENTRANCE_19               |  0  |
| Found Match: DIABLO_ENTRANCE_18               |  0  |
| Found Match: DIABLO_ENTRANCE_50               |  1  |
| Found Match: DIABLO_ENTRANCE_51               | 10  |
| Found Match: DIABLO_ENTRANCE_52               |  0  |
| Found Match: DIABLO_ENTRANCE_53               | 26  |
| Found Match: DIABLO_ENTRANCE_54               |  2  |
| Found Match: DIABLO_ENTRANCE_55               |  1  |
| Found Match: DIABLO_ENTRANCE2_15              |  2  |
| Found Match: DIABLO_ENTRANCE2_23              |  2  |
| Found Match: DIABLO_ENTRANCE2_19              |  0  |
| Found Match: DIABLO_ENTRANCE2_17              |  0  |
| Found Match: DIABLO_ENTRANCE2_50              |  9  |
| Found Match: DIABLO_ENTRANCE2_51              |  0  |
| Found Match: DIABLO_ENTRANCE2_52              |  0  |
| Found Match: DIABLO_ENTRANCE2_53              |  0  |
| Found Match: DIABLO_ENTRANCE2_54              |  0  |
| Found Match: DIABLO_ENTRANCE2_55              | 24  |
| Found Match: DIABLO_ENTRANCE2_56              |  3  |


========================================================
           LAST TRAVERSE BEFORE FAILED GAME            
========================================================
[2022-02-08 11:36:10,897] DEBUG      Traverse: [685, 686]
[2022-02-08 11:45:54,664] DEBUG      Traverse: [603]
[2022-02-08 11:56:22,512] DEBUG      Traverse: [676]
[2022-02-08 12:13:26,716] DEBUG      Traverse: [665]
[2022-02-08 12:24:43,620] DEBUG      Traverse: [610620]
[2022-02-08 12:34:22,539] DEBUG      Traverse: [603]
[2022-02-08 12:38:23,308] DEBUG      Traverse: [610620]
[2022-02-08 12:48:50,174] DEBUG      Traverse: [685, 686]
[2022-02-08 13:21:56,270] DEBUG      Traverse: [603]
[2022-02-08 13:26:19,180] DEBUG      Traverse: [610620]
[2022-02-08 13:46:34,990] DEBUG      Traverse: [610620]
[2022-02-08 14:04:18,044] DEBUG      Traverse: [675]
[2022-02-08 14:07:15,104] DEBUG      Traverse: [675]
[2022-02-08 14:38:17,510] DEBUG      Traverse: [610620]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
